NoteExpected(),"NoteExpected(Pitch:		+5 [67 - 62]
             Hold Time:		-0.51 [0.69 - 1.20]
             Rel On Time:	-1.75 [0.65 - 2.40])","NoteExpected(Pitch:		+4 [64 - 60]
             Hold Time:		-0.15 [0.45 - 0.60]
             Rel On Time:	-0.61 [0.59 - 1.20])","NoteExpected(Pitch:		+2 [64 - 62]
             Hold Time:		-0.11 [0.49 - 0.60])",NoteExpected(Hold Time:		-0.12 [0.48 - 0.60]),"NoteMissing(pitch_target=60, velocity_target=100, note_on_time_target=9.60, note_on_time_relative_target=0.60, note_hold_time_target=0.60)",NoteExpected(Pitch:		+3 [65 - 62]),"NoteMissing(pitch_target=60, velocity_target=100, note_on_time_target=10.20, note_on_time_relative_target=0.60, note_hold_time_target=1.20)",NoteExpected(Pitch:		+2 [64 - 62]),NoteExpected(Pitch:		+2 [62 - 60]),NoteExpected(Hold Time:		-0.12 [0.48 - 0.60]),NoteExpected(Pitch:		-3 [59 - 62]),"NoteMissing(pitch_target=60, velocity_target=100, note_on_time_target=12.60, note_on_time_relative_target=0.60, note_hold_time_target=1.20)",NoteExpected(),NoteExpected(),NoteExpected(Pitch:		-7 [55 - 62]),NoteExpected(),"NoteExpected(Pitch:		+7 [67 - 60]
             Hold Time:		-0.13 [0.47 - 0.60])","NoteMissing(pitch_target=60, velocity_target=100, note_on_time_target=17.40, note_on_time_relative_target=1.20, note_hold_time_target=0.60)","NoteMissing(pitch_target=60, velocity_target=100, note_on_time_target=18.00, note_on_time_relative_target=0.60, note_hold_time_target=0.60)"
"
"
"NoteMissing(pitch_target=62, velocity_target=100, note_on_time_target=4.80, note_on_time_relative_target=2.40, note_hold_time_target=1.20)",NoteExpected(Hold Time:		+0.42 [1.02 - 0.60]),NoteExpected(Pitch:		+5 [67 - 62]),"NoteExpected(Pitch:		+5 [65 - 60]
             Hold Time:		-0.46 [0.14 - 0.60])",NoteExpected(Pitch:		+3 [65 - 62]),NoteExpected(Pitch:		+5 [67 - 62]),NoteExpected(Pitch:		+7 [69 - 62]),NoteExpected(Pitch:		+5 [65 - 60]),"NoteExpected(Pitch:		+7 [67 - 60]
             Rel On Time:	-0.10 [0.50 - 0.60])","NoteExpected(Pitch:		+2 [64 - 62]
