trial_no,timestamp,pitch,note_hold_time,timing,n_missing_notes,n_extra_notes,Summed
1,2022_08_17-12_38_23,0.0,0.17349097222222246,0.01902531999999982,0.0,0.0,0.01902531999999982
2,2022_08_17-12_38_50,0.0,0.16782430555555583,0.017425319999999873,0.0,0.0,0.017425319999999873
3,2022_08_17-12_39_12,0.0,0.16401875000000027,0.01886531999999983,0.0,0.0,0.01886531999999983
4,2022_08_17-12_39_33,0.0,0.1630743055555558,0.01709147999999967,0.0,0.0,0.01709147999999967
5,2022_08_17-12_39_56,0.0,0.16314802777777798,0.019932999999999774,0.0,0.0,0.019932999999999774
6,2022_08_17-12_40_45,0.0,0.19391619444444474,0.11890548000000034,0.0,0.0,0.11890548000000034
