,id,mid_tempo,order,diff,complexity,prac1_diff,prac1_perf,prac1_err,prac2_diff,prac2_perf,prac2_err,prac3_diff,prac3_perf,prac3_err,prac4_diff,prac4_perf,prac4_err,prac5_diff,prac5_perf,prac5_err,prac_coef_diff,prac_intecept_diff,prac_coef_perf,prac_intecept_perf,prac_coef_err,prac_intecept_err,test_diff,test_err,test_perf,ret1_diff,ret1_err,ret1_perf,ret2_diff,ret2_err,ret2_perf,ret3_diff,ret3_err,ret3_perf
55,22,150,3,2,3,3,4,0.080830727,3,4,0.075564909,2,4,0.096746909,2,4,0.060162364,1,4,0.063551818,-0.5000000000000001,3.2,0.0,4.0,-0.004996036300000002,0.085363418,2,0.105090909,4,1,0.098545455,4,2,0.487909091,1,3,0.234136364,2
56,23,248,0,2,5,1,7,0.02403165,1,7,0.02913165,1,7,0.02553165,1,5,0.18251435,1,7,0.02706435,0.0,1.0,-0.20000000000000004,7.0,0.015944809999999997,0.025765110000000008,5,0.05192725,3,5,0.32397925,1,2,0.01717925,5,3,0.0813825,3
57,23,248,1,3,5,4,4,0.15663575,2,5,0.02282275,2,6,0.01665525,2,5,0.03956625,1,7,0.02007275,-0.6,3.4000000000000004,0.6000000000000001,4.2,-0.025638250000000005,0.10242705,2,0.071763,2,2,0.01637275,6,1,0.02043575,7,1,0.01874675,6
58,23,248,2,4,5,5,3,0.38436,4,5,0.371220833,3,5,0.020748542,5,2,0.2350125,2,6,0.020471042,-0.5000000000000001,4.8,0.30000000000000004,3.6,-0.0863986249,0.3791598332,1,0.101240833,5,2,0.015691042,6,1,0.016321458,7,1,0.341365833,4
59,23,248,3,0,5,6,2,0.39307925,5,2,0.07726825,4,4,0.03612475,4,3,0.31749875,2,5,0.02869425,-0.8999999999999999,6.0,0.6999999999999998,1.8000000000000005,-0.04885394999999999,0.26824095000000003,2,0.02203575,4,3,0.02274025,5,2,0.01401625,6,1,0.06695525,5
60,24,182,0,0,3,1,4,0.840981111,1,2,0.303071667,1,2,0.477055,1,3,0.190440556,1,4,0.277015,0.0,1.0,0.09999999999999995,2.8000000000000003,-0.1240563333,0.6658253333999999,1,0.166996667,2,1,0.490395333,2,1,0.256707333,2,1,0.308019333,3
61,24,182,1,2,3,1,6,0.017697391,1,6,0.018495652,1,4,0.06592,1,4,0.13492,1,6,0.024904348,0.0,1.0,-0.20000000000000004,5.6000000000000005,0.013083826200000002,0.0262198258,1,0.022968261,6,1,0.01775087,6,1,0.018128261,6,1,0.021867391,6
62,24,182,2,3,3,1,5,0.031520435,1,1,0.609174348,1,1,0.468651304,1,6,0.022243043,1,1,0.465274783,0.0,1.0,-0.30000000000000004,3.4,0.02805773910000002,0.26325730439999995,1,0.060389565,4,1,1.16729,3,1,1.236218696,3,1,1.185407391,3
63,24,182,3,4,3,3,3,0.151571611,3,3,0.1543815,3,2,0.131331722,2,3,0.109939944,2,5,0.0250305,-0.3,3.2,0.39999999999999997,2.4000000000000004,-0.029752377799999997,0.17395581099999996,1,0.047479444,5,1,0.023830556,6,1,0.025272778,6,1,0.048758333,3
64,25,281,0,4,5,2,7,1.117647059,4,6,0.015952412,3,7,0.072299118,2,7,0.015707118,2,7,0.074974941,-0.19999999999999993,3.0,0.09999999999999999,6.6,-0.20855895300000005,0.6764340356000001,2,0.014185588,7,3,1.176470588,7,2,0.013485118,7,1,0.074866118,7
