date,time,user_id,free_text,phase,task_number,trial_number,diff_rating,perf_rating,saved_filename,practice_mode,bpm,number_of_bars,complexityLevel,loaded_filename,pitch_right,note_hold_time_right,timing_right,n_missing_notes_right,n_extra_notes_right,Summed_right,note_hold_time_left,timing_left,n_missing_notes_left,n_extra_notes_left,Summed_left,
28/07/2022,10:24:39,Enter ID,Free text,None,1,1,,,2022_07_28-10_24_39.xml,None,100,7,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.TWO_NOTES: 3>, [0.5, 0.25], 'right')",,0,0.02634375,0,1.05,0,1.07634375,0,0,0,0,0,0
28/07/2022,10:25:21,Enter ID,Free text,None,1,2,,,2022_07_28-10_24_39.xml,None,100,7,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.TWO_NOTES: 3>, [0.5, 0.25], 'right')",,0,0.27525,0.0305,0.05,0,0.35575,0,0,0,0,0,0
28/07/2022,10:29:50,Enter ID,Free text,None,2,1,,,2022_07_28-10_29_50.xml,None,100,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",,0.25,0.236611111,0.065166667,0.333333333,0.041666667,0.926777778,0,0,0,0,0,0
28/07/2022,10:40:47,Enter ID,Free text,Calibration,5,1,,,2022_07_28-10_40_47.xml,None,166,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.THREE_NOTES: 4>, [0.5, 0.25], 'right')",,0.315789474,0.088784167,0.201473684,0.421052632,0.052631579,1.079731535,0,0,0,0,0,0
28/07/2022,10:44:45,Enter ID,Free text,Calibration,5,2,,,2022_07_28-10_40_47.xml,None,166,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.THREE_NOTES: 4>, [0.5, 0.25], 'right')",,0.105263158,0.136673194,0.083847895,0.157894737,0,0.483678984,0,0,0,0,0,0
28/07/2022,10:45:25,Enter ID,Free text,Calibration,5,3,,,2022_07_28-10_40_47.xml,None,166,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.THREE_NOTES: 4>, [0.5, 0.25], 'right')",,0.473684211,0.134960139,0.271181316,0.210526316,0,1.090351981,0,0,0,0,0,0
28/07/2022,10:48:22,Enter ID,Free text,Calibration,6,1,,,2022_07_28-10_48_22.xml,None,100,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.THREE_NOTES: 4>, [0.5, 0.25], 'right')",,0.333333333,0.18925,0.224111111,0.166666667,0,0.913361111,0,0,0,0,0,0
28/07/2022,10:49:10,Enter ID,Free text,Calibration,6,2,,,2022_07_28-10_48_22.xml,None,100,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.THREE_NOTES: 4>, [0.5, 0.25], 'right')",,0.333333333,0.229166667,0.1795,0,0,0.742,0,0,0,0,0,0
28/07/2022,10:49:50,Enter ID,Free text,Calibration,6,3,,,2022_07_28-10_48_22.xml,None,100,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.THREE_NOTES: 4>, [0.5, 0.25], 'right')",,0.5,0.237888889,0.3695,0,0.055555556,1.162944444,0,0,0,0,0,0
28/07/2022,10:52:05,Enter ID,Free text,Calibration,7,1,,,2022_07_28-10_52_05.xml,None,67,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.THREE_NOTES: 4>, [0.5, 0.25], 'right')",,0.038461538,0.376657222,0.124749154,0,0.038461538,0.578329453,0,0,0,0,0,0
