trial_no,timestamp,pitch,note_hold_time,timing,n_missing_notes,n_extra_notes,Summed
1,2022_08_17-12_59_20,0.0,0.10209555555555554,0.028481666666666766,0.041666666666666664,0.0,0.07014833333333342
2,2022_08_17-12_59_37,0.0,0.1176456944444442,0.020629375000000134,0.0,0.0,0.020629375000000134
3,2022_08_17-12_59_54,0.0,0.11450319444444435,0.027826875000000185,0.0,0.0,0.027826875000000185
4,2022_08_17-13_55_13,0.20833333333333334,0.024820694444444416,0.013663958333333356,0.8333333333333334,0.0,1.055330625
