trial_no,timestamp,pitch,note_hold_time,timing,n_missing_notes,n_extra_notes,Summed
1,2022_08_17-12_42_54,0.0,0.07412152777777765,0.04794156250000001,0.0,0.0,0.04794156250000001
2,2022_08_17-12_43_14,0.0,0.06836000000000003,0.03699437500000016,0.0625,0.0,0.09949437500000016
3,2022_08_17-12_43_34,0.0,0.071774861111111,0.03343593749999994,0.0,0.0,0.03343593749999994
4,2022_08_17-12_43_52,0.125,0.08041375,0.05941156250000004,0.0,0.0,0.18441156250000004
5,2022_08_17-12_44_11,0.0,0.07087694444444437,0.05465750000000004,0.0625,0.0,0.11715750000000004
6,2022_08_17-12_44_42,0.0,0.05982861111111101,0.04201875000000016,0.0625,0.0,0.10451875000000016
